,filename,euclidean_distance,value_near_1,value_near_2,value_near_3,value_near_4,value_near_5,value_near_6,value_near_7,value_near_8,value_near_9,value_near_10
0,obj10__4.png,0.039994942167262786,0.03977527564457808,0.03799728188363049,0.0376496472358148,0.03721773837582208,0.03693295022811288,0.03691570172793034,0.03673963036222389,0.03664872330739768,0.036645789350484646,0.036628973551561264
1,obj4__57.png,0.04043459281370726,0.04021842455020761,0.038516997034185596,0.03803873419196179,0.03799992549850837,0.03799738895398879,0.037964480472792175,0.03796219394453094,0.03796058243983825,0.03794747585462378,0.03794348643443227
2,obj7__38.png,0.039260363477023386,0.03920726639854452,0.03913573352905931,0.039117744068069685,0.03898904433832721,0.03881914917768747,0.0387797957206579,0.03872295952825394,0.03866619250713979,0.03865912513584723,0.03863380800608533
3,obj14__5.png,0.040161315010435045,0.04004550201159312,0.04000749801159102,0.03991141964498069,0.039903063420341604,0.03989549544216966,0.039810332345158295,0.03977931834963401,0.03972096917651476,0.039610215666047645,0.039586238411996544
4,obj11__71.png,0.04187974319323801,0.041526922407398074,0.03889401649871892,0.03873060267922975,0.03840626486364137,0.038292134122686367,0.03824852477670772,0.03821987297395548,0.03806561000429316,0.03806059930594943,0.03802847730392011
5,obj15__12.png,0.04203032939719194,0.04193108011592044,0.041912302513410285,0.041866976018798165,0.041805469265331054,0.04177543498057757,0.04169398446099377,0.041668753091105876,0.04160830828378926,0.041578540559396755,0.04154514188604227
6,obj17__49.png,0.04017127780692886,0.04014204366952036,0.04013957023470866,0.040132084108215886,0.040103753240318174,0.040086898063425795,0.04006116998038015,0.04003467586755759,0.04001649222173985,0.039975646832734434,0.03997349268742266
7,obj13__65.png,0.043275371991234775,0.04314466794758535,0.03852538273546239,0.03822454372874913,0.03808725970919637,0.03764115147164998,0.0371237538214137,0.03705496211652382,0.03690823641949395,0.03662391406616854,0.036493366149929894
8,obj16__40.png,0.03993397300401454,0.039722729288634316,0.03911898789843095,0.03900634599749217,0.038883628194771945,0.03888272505465563,0.038788380563064766,0.038757183831900105,0.03874994514476664,0.03870626838833367,0.03867805454063572
9,obj5__51.png,0.03701528452780349,0.03681315237963035,0.03638128487282839,0.03550418249240785,0.03548382770813243,0.035440601089139066,0.03537337283071366,0.03536212335882809,0.03533322031755885,0.03525345230085451,0.03521098323004474
10,obj19__37.png,0.04087067888298334,0.04072660287118891,0.04059513518515028,0.04056894834383069,0.0405125730921033,0.04017123931425846,0.040158916280727,0.04014196362072087,0.04014034357898765,0.04002864566396964,0.040009268030970116
11,obj18__69.png,0.042462567853347434,0.042018705110380056,0.04191568153040965,0.04189731239120193,0.04189363502783973,0.041881461332921144,0.04151371948620327,0.04136554710244885,0.041206624523809326,0.04114096952625218,0.04109768334302597
12,obj12__16.png,0.04043185151237501,0.04010019228644027,0.03941987750427238,0.039325105986317915,0.03925744524265736,0.039241727451720824,0.039203161940420145,0.03919579542918659,0.0391860018104265,0.03918266083729238,0.03917252825945532
13,obj19__43.png,0.04106581351532768,0.04091401110675561,0.040479520999634505,0.040091353806673155,0.03996555620727095,0.03993498562141936,0.03987881143939143,0.0398773897749291,0.03979366606513868,0.03969884955002805,0.0394656693244734
14,obj9__2.png,0.03806909279272238,0.03781361979316136,0.03779747519547516,0.037544292926035415,0.037542769933378364,0.03750556036584631,0.03748115342802587,0.037449079129794394,0.037375513634473646,0.037255646102061724,0.03720744703142728
15,obj13__56.png,0.043287743869303646,0.043205434866255096,0.039746066533285954,0.038962988369255845,0.03850269801085006,0.03848145125519569,0.03841878795310319,0.03833628955000645,0.038330263914537616,0.03822917204869079,0.03815191863867419
16,obj19__70.png,0.04127014181931232,0.04107961809431603,0.040967779511136546,0.040866683253324265,0.04082193939672749,0.04049460509013603,0.04044996693723039,0.040434387728797365,0.04039468944798315,0.04037140174060986,0.04034284109802116
17,obj3__52.png,0.0369921363216168,0.03692140071118311,0.03679208878587753,0.036758439384303856,0.036650759565780885,0.03655712105719808,0.036376491573916606,0.036141515419845435,0.0360772793094853,0.036065099671821484,0.0360171309749842
18,obj4__14.png,0.04040867215142498,0.04020760784185215,0.039266955006922906,0.03877778464459374,0.03875986169772621,0.03838494664323663,0.03837908124525334,0.03832543422047131,0.03804391672041642,0.03788728912423694,0.03788224294307592
19,obj8__1.png,0.04026067683624342,0.04002512468739771,0.039920456583217134,0.039867561388132196,0.03986116951109492,0.039819666496437096,0.03975034820992484,0.03967539155026659,0.03960065013916298,0.039583610284955086,0.03957847003699714
20,obj12__43.png,0.04011867418711907,0.03998964809114541,0.039581138279889065,0.039529079213650835,0.03952142309648362,0.03948552648584289,0.039458412282580416,0.039437812003142086,0.03942505117531589,0.039418772033420466,0.03939181917785378
21,obj13__43.png,0.03987946158961349,0.03978960584439382,0.037781365545084475,0.03760536093399458,0.03751731517042017,0.03750276102437039,0.0374777447426828,0.03743478295116171,0.03743148139320097,0.03738223293776313,0.03734253922379596
22,obj19__11.png,0.04019595749693961,0.04011461143704779,0.0395611257233402,0.03950001015744869,0.039418083453095304,0.039271792744412164,0.039091534081792285,0.0388540383972809,0.03881950907459823,0.03875540069220339,0.03853715337291128
23,obj9__57.png,0.03610657605544309,0.035912151369359456,0.03573319250743748,0.035728193433699096,0.035615769381363405,0.03561428355293999,0.035602038425783036,0.03553443632745929,0.035513101380421845,0.03539983242632377,0.03529118040655164
24,obj9__46.png,0.03939375100201032,0.039319399052413016,0.03895400168030882,0.03854438417490623,0.03851932722971937,0.038518594507386796,0.03833767943150445,0.03826622803936655,0.037720797416171584,0.03769413658800105,0.03717889515419886
25,obj20__64.png,0.04063608901122506,0.04027680360502953,0.03995559642460086,0.039936972320002824,0.03993306877347124,0.0398472135988678,0.03981950930637728,0.039650658966693085,0.03954265890844829,0.039523971516284485,0.039421298467514736
26,obj11__8.png,0.0417450448269974,0.04108964041810781,0.038782732537190924,0.03860249869480186,0.038519947211552864,0.03842448915619435,0.03840431964044094,0.038403143051390844,0.03834988696944808,0.03832491773720011,0.03831424961202193
27,obj13__16.png,0.04207426198780008,0.04187615918551312,0.0394454683143699,0.03936985377586306,0.03935833912438999,0.039295359897214076,0.03923563230971002,0.03919877984287404,0.03913074246039508,0.039110506536717236,0.039039796523385954
28,obj4__50.png,0.0394503967860101,0.03942921281900033,0.03939680948457124,0.039370178603576084,0.03935159043128398,0.039300539490625085,0.039290603430801666,0.03926646368069207,0.039249023502100404,0.03923252377726951,0.039224737459728834
29,obj13__15.png,0.04272742881788498,0.04259303078974032,0.03949822662449147,0.03947409445107963,0.03947066773402588,0.03944754778826385,0.03941079684666545,0.03939382373267785,0.03925346035437833,0.03924418351329831,0.039237350318043714
30,obj10__37.png,0.03903829495544381,0.03898387932488857,0.03889071940846958,0.03886917030689111,0.03881090135515552,0.038709821361834734,0.038649772774126775,0.038645336537718955,0.03864398064877242,0.03857894094470897,0.03844746947820666
31,obj12__61.png,0.03932654958199958,0.03929086886661448,0.039216394149602096,0.03915261645529566,0.03912331418794241,0.03909245369782785,0.03906514343463377,0.039054265731792645,0.03903348089507408,0.03903167011682344,0.03901750460773503
32,obj4__25.png,0.04052999768060477,0.040487961329110665,0.04047969315590991,0.04035536835904646,0.040337021658873276,0.040259019695471625,0.040188479220224144,0.04018107516440249,0.03996000814919966,0.039921889630734265,0.03984231555913993
33,obj14__19.png,0.04060533775402569,0.040558968841172535,0.040545656829942496,0.04053125026141632,0.04051305376605357,0.04042749805007609,0.04039883521756577,0.04039779684239618,0.04038575721024632,0.0403380018833564,0.04024754013587666
34,obj4__54.png,0.03955925721177563,0.039478590001013614,0.03859346680758809,0.03857178039878725,0.03856018553295949,0.038525344879493946,0.03848418399866697,0.03847790398007905,0.03846370711831753,0.03846082514747204,0.03843275466426063
35,obj19__68.png,0.04112512594902471,0.04094436722225608,0.04071807303575424,0.04056038184253616,0.040495139070028226,0.04043873013205935,0.04038026053149543,0.04030996902261057,0.04028759379252491,0.04012464339997639,0.04008361893208081
36,obj5__41.png,0.04052346693606503,0.0403875645644329,0.040201589087246664,0.040199194502506634,0.04009337554408616,0.039836836600552275,0.03968603024331977,0.03947520319914176,0.0394575576891331,0.03936753965949669,0.03926787124044107
37,obj20__50.png,0.04079079658221357,0.04060899633541141,0.040474302440554756,0.04047125464780096,0.04038379486384892,0.04033215814618958,0.04032602806152563,0.03999628385200124,0.039957592063393825,0.03987797731317432,0.03981820677077383
38,obj11__40.png,0.04217365439403414,0.04191614731672898,0.03886970256567946,0.038714530745011806,0.03862496454022034,0.038577381727812714,0.03853585455121796,0.038433536474919455,0.03842149015054983,0.038345348496137015,0.038316729620114016
39,obj16__5.png,0.04006506595651726,0.03980908076175313,0.039219966319405566,0.03878173084573314,0.038410026199444655,0.03830405755158817,0.038241199991676314,0.038204996884672875,0.03817871945025009,0.03817110732272471,0.03814788735084532
40,obj10__12.png,0.04365117485427451,0.04341788588321073,0.041663822402447974,0.04095484071342979,0.04056968461127805,0.04028957332953743,0.040253001296496276,0.03924281057607891,0.038994494120930936,0.038946237926393755,0.03875783767764302
41,obj10__56.png,0.043790546796872845,0.04335790338253266,0.04242164727432584,0.041899550816230514,0.0417480553024117,0.04153345932674556,0.04094327900268143,0.04033988576116907,0.04017887424442969,0.03985382844758663,0.03983725100713874
42,obj13__66.png,0.04305027706235328,0.04292364350646197,0.0386107108598988,0.038464844431651796,0.038065964674875254,0.03777930324608563,0.03756039982149289,0.037352517876168154,0.037138593335590275,0.0371253310735459,0.03683268079311814
43,obj10__58.png,0.044135146316044926,0.04369651576008323,0.04221600447112903,0.042081021364469486,0.04174960145130948,0.04148927131002404,0.04042749832288032,0.04041390825465261,0.04013361929901017,0.03994582572657896,0.03979961831705763
44,obj4__37.png,0.04084456133438454,0.04076824248509827,0.040652986818272376,0.040565673804238055,0.04043414287892913,0.04030402966781178,0.0402404756396306,0.04022186807493558,0.04016833842219687,0.040103240929350616,0.0400538909125692
45,obj5__22.png,0.03837745670513882,0.038231799168448335,0.03812521657306011,0.037465240309845195,0.036390338256181334,0.03638280548193281,0.03621395703102592,0.036067960145942185,0.036010501094024545,0.035863631444179686,0.03563067390118166
46,obj13__42.png,0.04004409677803561,0.04003808738474857,0.037972909739395155,0.037781442278152805,0.03764531322667273,0.03762768783082889,0.03710718841341951,0.03692580422829399,0.03690059140771252,0.03689047078948481,0.03681283522429026
47,obj8__44.png,0.042944061607066625,0.04276991450713016,0.04164070657023727,0.04106379679768561,0.03988094467845396,0.039457864907337305,0.038949867429849454,0.03887650584422535,0.038561998397470286,0.03843654064956836,0.03825948212292198
48,obj1__29.png,0.03755043137546068,0.03742502299434276,0.03741507867932007,0.03741392316047604,0.03738955005387723,0.03735330206489451,0.03734532758328039,0.03731356083738156,0.03720273210361528,0.037130557676299865,0.03712268433130439
49,obj3__40.png,0.04091911985714887,0.04082345302803302,0.0407399029800566,0.04054691839503045,0.040505910605382806,0.0402723689218253,0.040109937767180824,0.0400499923300313,0.04001545408059693,0.03980080448159853,0.039793356135969314
50,obj5__1.png,0.039383929714094386,0.038638346221779064,0.03846211023999055,0.03845115274833104,0.038384341669553325,0.038324957975708125,0.038171903863420314,0.038160462160149865,0.038081085673312226,0.03806873049388147,0.03802957180664847
51,obj17__31.png,0.039908982071512854,0.039878705793801185,0.03982890492001523,0.03978977287790421,0.039759527658254926,0.03972856213805368,0.03968788942601219,0.03965729421646717,0.03962746995310561,0.039615533196697306,0.03961260608558552
52,obj20__53.png,0.04070836006353432,0.04055855678124696,0.040445324869351096,0.04031134966143058,0.04021073358383958,0.04019427830537552,0.040185036159997724,0.03997157102453001,0.03987871137829366,0.03983778309289517,0.03967632353611878
53,obj12__63.png,0.03927390805243796,0.03909017168281736,0.03893504661764802,0.03891686697792088,0.0389101321636282,0.03884838927640837,0.0388220017391261,0.038764301254135616,0.03876273936074827,0.03870940363126324,0.03865599137041602
54,obj12__24.png,0.04069468888525243,0.040460046987640406,0.03968485802491516,0.03959366481574102,0.03952912137006638,0.03951325520960326,0.03948980120905359,0.03944196470638564,0.03943864102403764,0.039414808415817085,0.039404928760977
55,obj19__24.png,0.04043575136570119,0.040331808946096004,0.03986075113377623,0.039758350061103294,0.03956695539781026,0.03906710175160418,0.039006945153204915,0.038961129680839715,0.038897953929205635,0.038767073260287895,0.03837551883576202
56,obj17__40.png,0.039990934963354256,0.039941051171429126,0.03993276205965107,0.03992873533294352,0.03991893905840344,0.03990884225097311,0.03986273007913559,0.039838601503490306,0.03982909618363062,0.039817870171429175,0.0397564478393386
57,obj4__41.png,0.04061176505283586,0.0406033380944501,0.040578091411227396,0.0404249286342983,0.04042007179305433,0.04036642020160957,0.040302895892225854,0.04023399100183287,0.04021122081035654,0.0401436829819755,0.04012217467825026
58,obj6__24.png,0.039890811129270815,0.039426338606754784,0.038928727017311204,0.038867268091042954,0.03861135592336253,0.03824713574471805,0.0380418432637549,0.037895294284746556,0.0378632469828652,0.037732405615702104,0.037601671630674544
59,obj14__33.png,0.04021849228992869,0.04014111487988978,0.04001860954558082,0.03994427142166089,0.03990008236402805,0.03986736749170027,0.03986441818977309,0.03984067402020523,0.03980960368506871,0.03980314132154376,0.03970785512244575
60,obj7__6.png,0.03829617849991686,0.038143393664778376,0.038121263709260146,0.03797858515735506,0.03781905178325862,0.03757966888155851,0.03754359123745162,0.03746602660629234,0.03746570525353245,0.037447970341431394,0.03743184011009678
61,obj7__61.png,0.037290796727147496,0.036969388469781185,0.036870379180462605,0.036749200518872226,0.03665188703555231,0.03659427699227171,0.03649031326955334,0.03648290422448318,0.036373771874317146,0.03625402712152986,0.03612412963970176
62,obj15__39.png,0.042047924145317675,0.04202776477437736,0.041925311924348556,0.04188990937052562,0.04182319815086989,0.041772422994985646,0.04172911015511755,0.04172710919464664,0.04166966442640387,0.04165437065128367,0.04153835030433474
63,obj2__14.png,0.0382404494361749,0.03811958028823372,0.03775342070658873,0.037183814605025886,0.037145367715931965,0.03701917518647956,0.03697910216901777,0.03690907665799273,0.03688255283954214,0.036843508145539876,0.036813813393298526
64,obj12__37.png,0.040914218185365774,0.0407177707194063,0.039452374564255994,0.03938247480150864,0.03937844593467051,0.03934839736942648,0.03932370779668436,0.03931880758829821,0.03929119191463768,0.039282469608477893,0.0392612867916142
65,obj19__26.png,0.040868000476254863,0.04084841033781941,0.04041690979038837,0.040370069406265266,0.03992095466200763,0.039789372198490366,0.03969223478319942,0.03968264456031175,0.039660554163366425,0.039414847025491764,0.039140355061503214
66,obj20__38.png,0.04030884544001235,0.04009836405175452,0.039954081117598995,0.039943670612685625,0.03988870349982168,0.03974096813656359,0.03965367936130948,0.039609751225036516,0.039564660504051136,0.03956038890437015,0.039260522447253414
67,obj17__57.png,0.04010293924090763,0.04005287580604626,0.04004444631578294,0.04004227975310943,0.04003488807819191,0.04001775075446329,0.039973595920414134,0.03996786942302727,0.03996137870629528,0.039914453264702415,0.039891664546205505
68,obj3__65.png,0.04097331653794903,0.040744401045093574,0.04049958902535607,0.03998789483309342,0.039956076979508086,0.0398017260456644,0.039596871088742984,0.03950655103246724,0.039434556472655015,0.03940997870193678,0.03940234316612914
69,obj12__22.png,0.04055970019230095,0.04027499120580007,0.03965071270713748,0.03954717327614445,0.039500652817448745,0.039449221646098,0.0394412306755362,0.039429399360175435,0.03940617070331568,0.03938389029949231,0.03933781535114673
70,obj14__4.png,0.04039723373146108,0.040362086218787195,0.04031758245989523,0.040240214930021036,0.04011515528350184,0.040113765577990554,0.04011246051599306,0.04010283367779371,0.03996063915561802,0.03986326945100609,0.039818118668226626
71,obj3__15.png,0.0383443542857822,0.037821543481186416,0.0377367762194782,0.03772804172062114,0.03749119489131432,0.03730764187809075,0.037243265855727216,0.03660289079869858,0.03647694926704096,0.03638123111028127,0.03631257273043636
72,obj7__17.png,0.038632380834451654,0.03860736209492341,0.03855669651073303,0.0384902216108834,0.038114671496528814,0.03781258003173901,0.0377833790128955,0.03771779221461759,0.037686856274033,0.037686238969277606,0.03752430734468722
73,obj8__50.png,0.041067955822360655,0.04106082496270439,0.04035678443148252,0.039925218920507655,0.039001467950888546,0.03857007632697929,0.03804844130647463,0.037654107411593384,0.0376143288863373,0.03755143127244886,0.03750315883326921
74,obj18__28.png,0.042493598580869374,0.0418538005912322,0.04146653869085699,0.041432954016826694,0.041301749114644334,0.04088861831885876,0.040864097279361966,0.040752296615173336,0.040739886747455205,0.040736153271663994,0.04064937854233247
75,obj1__34.png,0.036454255547625616,0.036434467634974176,0.036338268990516134,0.036123635536771635,0.03611849034271934,0.03608099886461438,0.03605936599882364,0.03602459198347201,0.0360140701893274,0.03596736180856921,0.035927658458192666
76,obj3__55.png,0.03643748703773875,0.036376094270697434,0.03630196328326135,0.036227652247361554,0.03621196684292869,0.03612535396940344,0.036124395177479736,0.03585127480344686,0.03567342028697212,0.03564497097010108,0.03559678020091314
77,obj15__68.png,0.04147399938608512,0.04137996763440091,0.041303626901643124,0.041295148108342575,0.0412796782383696,0.04121076434823393,0.04116984643798798,0.04103966581210073,0.04103749340724497,0.04093292835451296,0.04092149343645063
78,obj9__23.png,0.038377273428062214,0.038145532227835496,0.03802168141130301,0.03739739838308863,0.03594937867230338,0.035541676965239646,0.03545036826651301,0.03534369987651471,0.03524332865799544,0.03519937782342884,0.03518489415864054
79,obj6__12.png,0.038620168338815763,0.03853915111628067,0.038107847709525924,0.03794121298247544,0.0378130964601787,0.03771667923215322,0.0376736574701744,0.037663008116879254,0.03765847158850625,0.03761020180425543,0.03745866599359738
80,obj17__64.png,0.03991290211620663,0.03991172191448488,0.03990718019223116,0.0398916507007749,0.03988453710305204,0.039836768030253406,0.0398340007560313,0.03982064592486714,0.0398079951278888,0.039720180298094834,0.03971715960661426
81,obj4__20.png,0.03930568555792198,0.03922628163480423,0.039173761081871455,0.039160575798247034,0.03896539686496482,0.038958678302994786,0.03876551371868059,0.03875749804890676,0.03875098799547232,0.038700309923517674,0.03858503656904768
82,obj14__15.png,0.03926219979524749,0.03922183578010097,0.03911985178992944,0.03909679021323729,0.03907850237267127,0.03901038512599348,0.039008995212221224,0.03899741145982002,0.038997254083556775,0.038830259580506454,0.03878569027626489
83,obj7__50.png,0.0404054299754962,0.0400600215572221,0.03921557037466756,0.038933518711910746,0.03866993772757319,0.03862267277555705,0.03855647585095375,0.038504426244473616,0.038453969481823544,0.03837309098505467,0.03816285890895857
84,obj16__18.png,0.03982653505105768,0.039548887185081,0.03910999022096685,0.03899890718525396,0.03898702660844027,0.03898068662916802,0.03897853319407596,0.03894411598911648,0.03893101691570632,0.038905171717909824,0.03889900151612486
85,obj3__60.png,0.04024020727705997,0.040131600367108576,0.03965265431403318,0.03936671107430354,0.038946471006742096,0.038869797536571576,0.038364217326824754,0.03833020094281156,0.03817287471632536,0.03816354294455421,0.0381098295562963
86,obj1__47.png,0.040247444599009606,0.04011063421659597,0.04007147143705268,0.03999722672644556,0.03984494938145236,0.03981030834692693,0.03967339086613062,0.03964518616369772,0.03963954116005653,0.03951133060670014,0.03950751482797709
87,obj11__16.png,0.04423573037444995,0.043726364890725955,0.04304001442207514,0.042419636357014665,0.04140318757638252,0.041026458531960325,0.0402053155288261,0.04016993816063489,0.03989883193382198,0.03961066439627993,0.03931385535814724
88,obj6__34.png,0.039951570263384695,0.039900289620182224,0.03985345680387818,0.03979630235530694,0.03971325230203558,0.039534651194183874,0.039490007417664875,0.03948201118578131,0.039432187136580615,0.039344144168349485,0.03932424554303395
89,obj2__43.png,0.037177852017492276,0.03705624564412983,0.036865363357824935,0.03586084502443852,0.0355290143778959,0.0352757726732033,0.03519626229599666,0.03518390386982319,0.03504390571702108,0.03504333962573212,0.03503307810653897
90,obj1__8.png,0.03804003375069781,0.03796989816848711,0.03795542343798643,0.03788926281710718,0.03785083293198367,0.03784171157156274,0.03781326582163345,0.03780555696202021,0.03779891635974315,0.037782427432566386,0.037753865608957535
91,obj7__45.png,0.037752943885682615,0.037573789567026734,0.03751534965090837,0.037391063475548346,0.03734396697403729,0.03710427148365363,0.037081905045389864,0.03698393640566022,0.03697645457264532,0.036875416571507065,0.036833018827580714
92,obj16__51.png,0.03947072078165986,0.03927142594957421,0.03911700148661246,0.039007467152846774,0.03899055158790467,0.03889530541214767,0.03887538345840162,0.03886656097234872,0.038798723809678054,0.03879477350845924,0.038688281894791454
93,obj14__58.png,0.04067252649939944,0.04052354658919853,0.040473184208557486,0.04047277910571559,0.04043767684137421,0.04033880109233184,0.040333735352184874,0.040311947075826186,0.040274473964607545,0.04023348975853064,0.04013251714208506
94,obj7__67.png,0.03672564331511118,0.03671621672200503,0.036560569124194704,0.03652971947243206,0.03640304976016229,0.036208653401836384,0.03573177792936297,0.03565182227275283,0.03552328635174272,0.03546145620117304,0.03542750189046577
